Experiment: changes in hillclimber:,"verbindingnummber, aantal_changed (straighthill, 3d, sequence: 7, it: 1000, in totaal 40 keer"
0,33.975
1,25.525
2,20.175
3,23.05
4,17.9
5,21.55
6,17.75
7,22.2
8,17.675
9,17.825
10,13.875
11,19.3
12,16.825
13,20.95
14,17.675
15,22.175
16,22.625
17,15.375
18,22.975
19,21.85
20,20.6
21,19.275
22,20.1
23,22.425
24,20.2
25,22.525
26,18.4
27,19.725
28,19.25
29,18.35
30,18.1
31,21.9
32,22.325
33,21.575
34,20.025
35,22.725
36,18.3
37,20.1
38,15.95
39,16.575
40,17.325
41,18.775
42,17.975
43,19.475
44,19.35
45,18.125
46,23.775
47,22.925
48,33.6
49,0.0
