Experiment: ,"depth, 3d, sequence 8, it: 1000"
2.6172642441080827,-23
2.5648480148011368,-23
2.5496314218917417,-25
2.471661722988305,-25
2.1998180202765933,-25
2.5702186032543057,-25
2.5774246076034313,-25
2.552840387539163,-25
2.563781929565188,-25
2.5909030665680746,-25
2.5434357218432346,-26
2.5801003075091415,-26
2.5659408748860386,-26
2.4460078477082305,-26
2.5530818074272545,-27
2.560686310778344,-27
3.0423917258576765,-27
3.774930619672645,-27
3.6905925229449252,-27
3.786513419331172,-27
