Experiment: ,"random_simulatedannealing, 3d, sequence 8, it: 1000"
8.46481584035764,-14
8.599850328594334,-22
8.839093421464238,-26
9.744368022083897,-21
8.666956132533713,-22
8.98676519216086,-30
9.78450619815441,-23
8.24308215996276,-24
8.338808938694072,-22
9.234560171787436,-29
8.655559418075441,-11
8.543038561583714,-26
8.528727851064005,-23
8.069325438917858,-11
8.560298521715978,-16
8.55874022550671,-22
9.839754760233461,-16
8.410286182973067,-24
8.43425725899624,-13
12.066014728844408,-23
